table,column,row_count,runtime_refs,scripts_refs,tests_refs,data_type,column_default
tournament_entries,owner_identity_id,9744,8,0,0,uuid,
padel_player_profiles,birth_date,695,36,0,17,timestamp without time zone,
padel_player_profiles,notes,695,36,0,17,text,
padel_pairing_slots,invited_contact,502,26,0,11,text,
padel_tournament_participants,seed_rank,452,19,0,5,integer,
operations,locked_at,422,27,0,9,timestamp with time zone,
operations,next_retry_at,422,27,0,9,timestamp with time zone,
operations,organization_id,422,27,0,9,integer,
operations,pairing_id,422,27,0,9,integer,
operations,stripe_event_id,422,27,0,9,text,
outbox_events,dead_lettered_at,416,29,3,19,timestamp with time zone,
outbox_events,error_class,416,29,3,19,text,
outbox_events,error_stack,416,29,3,19,text,
outbox_events,first_seen_at,416,29,3,19,timestamp with time zone,
outbox_events,last_seen_at,416,29,3,19,timestamp with time zone,
outbox_events,reason_code,416,29,3,19,text,
crm_contact_consents,expires_at,363,12,0,0,timestamp with time zone,
padel_pairings,captain_second_charged_at,251,109,0,25,timestamp with time zone,
padel_pairings,grace_until_at,251,109,0,25,timestamp with time zone,
padel_pairings,invite_expires_at,251,109,0,25,timestamp with time zone,
padel_pairings,locked_until,251,109,0,25,timestamp with time zone,
padel_pairings,partner_invite_used_at,251,109,0,25,timestamp with time zone,
padel_pairings,partner_invited_at,251,109,0,25,timestamp with time zone,
padel_pairings,partner_link_token,251,109,0,25,text,
padel_pairings,partner_swap_allowed_until_at,251,109,0,25,timestamp with time zone,
padel_pairings,payment_method_id,251,109,0,25,text,
padel_pairings,second_charge_payment_intent_id,251,109,0,25,text,
organization_group_members,role_pack,193,27,1,12,USER-DEFINED,
bookings,confirmation_snapshot,154,92,2,18,jsonb,
bookings,confirmation_snapshot_created_at,154,92,2,18,timestamp with time zone,
bookings,confirmation_snapshot_version,154,92,2,18,integer,
bookings,guest_email,154,92,2,18,USER-DEFINED,
bookings,guest_name,154,92,2,18,text,
bookings,guest_phone,154,92,2,18,text,
bookings,payment_intent_id,154,92,2,18,text,
bookings,pending_expires_at,154,92,2,18,timestamp with time zone,
notification_outbox,last_error,146,10,2,18,text,
notification_outbox,next_attempt_at,146,10,2,18,timestamp with time zone,
notifications,expires_at,146,17,0,1,timestamp with time zone,
sale_lines,padel_registration_line_id,142,10,2,0,integer,
sale_summaries,owner_identity_id,142,47,4,5,uuid,
availability_schedules,end_date,137,19,0,18,date,
tickets,owner_identity_id,136,45,0,7,uuid,
tickets,rotating_seed,136,45,0,7,uuid,
profiles,bio,124,242,0,38,text,
profiles,deleted_at,124,242,0,38,timestamp without time zone,
profiles,deleted_at_final,124,242,0,38,timestamp with time zone,
profiles,deletion_requested_at,124,242,0,38,timestamp with time zone,
profiles,deletion_scheduled_for,124,242,0,38,timestamp with time zone,
profiles,location_source,124,242,0,38,USER-DEFINED,
profiles,padel_club_name,124,242,0,38,text,
agenda_items,professional_id,119,9,0,0,integer,
agenda_items,resource_id,119,9,0,0,integer,
chat_conversation_members,access_revoked_at,114,36,5,0,timestamp with time zone,
chat_conversation_members,banned_at,114,36,5,0,timestamp with time zone,
chat_conversation_members,left_at,114,36,5,0,timestamp with time zone,
chat_conversation_members,muted_until,114,36,5,0,timestamp with time zone,
padel_rating_profiles,suspension_ends_at,103,23,0,7,timestamp with time zone,
organization_form_fields,help_text,77,3,0,0,text,
event_access_policies,invite_token_ttl_seconds,69,9,0,8,integer,
events,deleted_at,68,199,7,95,timestamp without time zone,
chat_conversation_messages,deleted_at,67,38,4,0,timestamp with time zone,
chat_conversation_messages,edited_at,67,38,4,0,timestamp with time zone,
padel_club_courts,deleted_at,48,44,0,9,timestamp with time zone,
padel_club_staff,deleted_at,48,19,0,4,timestamp with time zone,
booking_charges,payment_id,45,7,0,0,text,
booking_charges,payment_intent_id,45,7,0,0,text,
organization_audit_logs,from_user_id,43,6,0,3,uuid,
crm_campaign_deliveries,error_code,28,20,0,1,text,
crm_campaign_deliveries,error_message,28,20,0,1,text,
services,category_tag,23,35,1,7,text,
services,cover_image_url,23,35,1,7,text,
padel_tournament_configs,cancelled_at,22,50,0,33,timestamp with time zone,
padel_tournament_configs,completed_at,22,50,0,33,timestamp with time zone,
padel_tournament_configs,locked_at,22,50,0,33,timestamp with time zone,
padel_tournament_configs,rule_set_version_id,22,50,0,33,integer,
padel_tournament_configs,team_size,22,50,0,33,integer,
organizations,entity_type,20,121,3,54,text,
organizations,padel_default_hours,20,121,3,54,text,
organizations,padel_default_short_name,20,121,3,54,text,
organizations,payout_iban,20,121,3,54,text,
padel_rounds,duration_seconds,20,2,0,0,integer,
payment_events,stripe_event_id,20,37,8,6,text,
cron_heartbeats,last_error,19,2,0,0,text,
promo_redemptions,guest_email,18,12,0,0,text,
padel_clubs,deleted_at,12,36,1,12,timestamp with time zone,
padel_clubs,source_club_id,12,36,1,12,integer,
chat_conversations,close_at,9,47,3,0,timestamp with time zone,
chat_conversations,customer_id,9,47,3,0,uuid,
chat_conversations,professional_id,9,47,3,0,uuid,
chat_conversations,read_only_at,9,47,3,0,timestamp with time zone,
store_categories,cover_image_url,8,10,2,0,text,
crm_campaigns,approval_expires_at,7,28,0,1,timestamp with time zone,
crm_campaigns,cancelled_at,7,28,0,1,timestamp with time zone,
crm_campaigns,rejected_at,7,28,0,1,timestamp with time zone,
crm_campaigns,rejected_by_user_id,7,28,0,1,uuid,
promo_codes,min_quantity,4,19,0,0,integer,
promo_codes,min_total_cents,4,19,0,0,integer,
entitlements,season_id,3,51,3,15,integer,
entitlements,tournament_id,3,51,3,15,integer,
